
2024/11/12 (17:11:14) | ===> btop++ v.1.4.0
2024/11/12 (17:11:14) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/11/12 (17:12:24) | ===> btop++ v.1.4.0
2024/11/12 (17:12:24) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/11/12 (17:18:01) | ===> btop++ v.1.4.0
2024/11/12 (17:18:01) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/12/10 (18:24:08) | ===> btop++ v.1.4.0
2024/12/10 (18:24:08) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/12/24 (01:36:58) | ===> btop++ v.1.4.0
2024/12/24 (01:36:58) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/12/24 (01:37:29) | ===> btop++ v.1.4.0
2024/12/24 (01:37:29) | WARNING: Failed to set locale UTF-8 continuing anyway.
